,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
60,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.08785422369837761,0.013552739119982076,0.11641623220145066,0.930471266327862,0.9275437406995615
61,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.08552107959985733,0.013527282308264905,0.11630684549184929,0.8986860727611082,0.8716690254974038
62,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.09598503610119223,0.016609000566135273,0.12887591150457586,0.9147919275432245,0.911204219229255
63,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.09588030353188515,0.013155673123821928,0.11469818273984086,0.9014692767348256,0.8751944171974457
64,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.11029546331614255,0.02029675428569563,0.1424666778081655,0.8958728851307791,0.8914885855573382
65,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.09276795373298227,0.014476171097888652,0.12031696097345815,0.8915792757268656,0.862667082587363
66,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.10023126519750804,0.016875021545977777,0.12990389349814646,0.9134271774587637,0.9097820059833432
67,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.0915460903197527,0.01193176250186471,0.10923260731972258,0.9106358771556744,0.8868054443971876
68,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.09796453711867797,0.01658010921678186,0.1287637729207321,0.9149401469486774,0.9113586794517796
69,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.10545984208583832,0.018829953611056865,0.13722227811495066,0.8589711882558455,0.821363505124071
