,Device,Qubits,Model,Model_spec,sim_iter_num,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
36,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
37,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
38,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
39,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,249.53822432196375,173.81184957787087,4.778072905289492,-0.3093619956297077,0.01849365234375,0.0218505859375,0.0140380859375,840.0,0.0003162537557439279,60.0,0.0,0.0003162537557439279,0.0003162537557439279,0.006948156043486161,642.5,0.01849365234375
40,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,71.50173697908181,91.13622573073906,5.261098756909979,-0.32513037674538947,0.02416249999999999,0.03839999999999999,0.009925,5351.11111111111,0.000488180637323073,35.55555555555556,0.0,0.000488180637323073,0.000488180637323073,0.011195919796557135,405.4814814814814,0.02416249999999999
41,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,72.75441669343047,88.24164582226433,5.211845625911881,-0.32773312948043476,0.015962500000000004,0.026249999999999996,0.005675000000000002,5351.11111111111,0.00029322739372309435,35.55555555555556,0.0,0.00029322739372309435,0.00029322739372309435,0.010014436804262207,371.55555555555554,0.015962500000000004
42,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,71.3044364122238,92.51129098079109,5.245064905547148,-0.32518291148968614,0.023549999999999988,0.037425,0.009675000000000003,5351.11111111111,0.00048743549228020665,35.55555555555556,0.0,0.00048743549228020665,0.00048743549228020665,0.010581655273036877,401.037037037037,0.023549999999999988
43,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,72.75441669343047,88.24164582226433,5.21184562591188,-0.32773312948043476,0.015962500000000004,0.026249999999999996,0.005675000000000002,5351.11111111111,0.0002932273937230943,35.55555555555556,0.0,0.0002932273937230943,0.0002932273937230943,0.010014436804262207,371.55555555555554,0.015962500000000004
44,FakeGuadalupeV2,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,71.50173697908181,91.13622573073906,5.261098756909979,-0.32513037674538947,0.02416249999999999,0.03839999999999999,0.009925,5351.11111111111,0.000488180637323073,35.55555555555556,0.0,0.000488180637323073,0.000488180637323073,0.011195919796557135,405.4814814814814,0.02416249999999999
45,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,264.58409462261113,202.8371531096038,4.8149082971824395,-0.3081019689975605,0.012542724609375,0.01666259765625,0.01123046875,840.0,0.00029038335813097926,60.0,0.0,0.00029038335813097926,0.00029038335813097926,0.007333006532794803,638.5,0.012542724609375
46,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,252.20408925661468,186.57361652314196,4.8041852889694905,-0.3089988332728626,0.017791748046875,0.0225830078125,0.01416015625,840.0,0.0003043745040718859,60.0,0.0,0.0003043745040718859,0.0003043745040718859,0.006075934414023916,642.5,0.017791748046875
47,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,258.8396893402403,199.89535561182367,4.7615730586822895,-0.3096245631162262,0.023162841796875,0.0279541015625,0.0198974609375,840.0,0.00022866255904726857,60.0,0.0,0.00022866255904726857,0.00022866255904726857,0.006771009548518846,645.0,0.023162841796875
48,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
49,AerSim with backend noise,8,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
50,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,72.00744296479472,87.67051848892032,5.223312730050459,-0.3254948963366282,0.016874999999999987,0.028249999999999997,0.005500000000000002,5351.11111111111,0.00029521695054826743,35.55555555555556,0.0,0.00029521695054826743,0.00029521695054826743,0.010220273458545221,376.44444444444446,0.016874999999999987
51,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,71.30443641222381,92.51129098079109,5.245064905547148,-0.32518291148968614,0.023549999999999988,0.037425,0.009675000000000003,5351.11111111111,0.00048743549228020665,35.55555555555556,0.0,0.00048743549228020665,0.00048743549228020665,0.010581655273036877,401.037037037037,0.023549999999999988
52,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,71.3044364122238,92.51129098079109,5.245064905547148,-0.32518291148968614,0.023549999999999988,0.037425,0.009675000000000003,5351.11111111111,0.00048743549228020665,35.55555555555556,0.0,0.00048743549228020665,0.00048743549228020665,0.010581655273036877,401.037037037037,0.023549999999999988
53,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,72.75441669343047,88.24164582226432,5.211845625911881,-0.32773312948043476,0.015962500000000004,0.026249999999999996,0.005675000000000002,5351.11111111111,0.00029322739372309435,35.55555555555556,0.0,0.00029322739372309435,0.00029322739372309435,0.010014436804262207,371.55555555555554,0.015962500000000004
54,FakeGuadalupeV2,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,75.56937172953907,93.4647427932999,5.219220192377807,-0.327441610902663,0.021549999999999986,0.035324999999999995,0.007775000000000005,5351.11111111111,0.0003005624902146094,35.55555555555556,0.0,0.0003005624902146094,0.0003005624902146094,0.010516668560615023,388.14814814814815,0.021549999999999986
55,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
56,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
57,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,241.19390568391668,183.962466560371,4.791348331060803,-0.30911092282955244,0.019561767578125,0.02410888671875,0.01531982421875,840.0,0.00030559080108311576,60.0,0.0,0.00030559080108311576,0.00030559080108311576,0.006766266250016426,644.5,0.019561767578125
58,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,256.0724352634811,175.16867267957474,4.821402491768131,-0.30876313436655567,0.0149688720703125,0.0167236328125,0.01568603515625,840.0,0.00034426156856173784,60.0,0.0,0.00034426156856173784,0.00034426156856173784,0.005985530741100139,639.5,0.0149688720703125
59,AerSim with backend noise,8,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,257.0016350801628,176.18626406793447,4.807545821762469,-0.3088478001649172,0.011474609375,0.012451171875,0.00921630859375,840.0,0.00031789424047896236,60.0,0.0,0.00031789424047896236,0.00031789424047896236,0.007623517924218457,639.5,0.011474609375
