,Device,Qubits,sim_iter_num,Dataset,Diff_loss_HQCNN-EZ,%_loss_improve_HQCNN-EZ,Diff_loss_HQCNN-EM,%_loss_improve_HQCNN-EM,Diff_accu_HQCNN-EZ,%_accu_improve_HQCNN-EZ,Diff_accu_HQCNN-EM,%_accu_improve_HQCNN-EM
57,FakeGuadalupeV2,10,3,Test,0.27832430601119995,45.37730842559002,0.16683638095855713,27.20059208577003,38.0,73.07692307692307,32.5,62.5
58,FakeGuadalupeV2,10,4,Train,0.09051483869552612,13.354666157310097,0.362541526556015,53.48980482198507,25.5,44.73684210526316,32.0,56.14035087719298
59,FakeGuadalupeV2,10,4,Test,0.09836435317993164,14.439117945828372,0.3885401785373688,57.03466025270294,23.0,40.35087719298245,34.5,60.526315789473685
60,AerSim (IBM-Yonsei),4,0,Train,0.012201845645904541,2.109933434642185,0.19370156526565552,33.494720451058015,2.0,2.4242424242424243,2.5,3.0303030303030303
61,AerSim (IBM-Yonsei),4,0,Test,0.022789716720581055,4.0684057565130205,0.28406545519828796,50.711184668281405,4.0,4.519774011299435,3.5,3.954802259887006
62,AerSim (IBM-Yonsei),4,1,Train,-0.03151899576187134,-5.04260699237002,0.2219173014163971,35.50372430342209,-6.5,-8.074534161490684,4.0,4.968944099378882
63,AerSim (IBM-Yonsei),4,1,Test,-0.03826582431793213,-6.272215525500312,0.29967761039733887,49.120660382538375,-6.0,-6.779661016949152,2.5,2.824858757062147
64,AerSim (IBM-Yonsei),4,2,Train,0.18412905931472778,32.04463840962933,0.1749022901058197,30.43887078072301,0.0,0.0,3.0,3.614457831325301
65,AerSim (IBM-Yonsei),4,2,Test,0.2549683451652527,47.12499209563412,0.26977989077568054,49.86256318259845,0.0,0.0,2.5,2.717391304347826
66,AerSim (IBM-Yonsei),4,3,Train,0.14685434103012085,26.479579087876854,0.1282273530960083,23.120912284359648,-3.0,-3.4682080924855487,-2.0,-2.312138728323699
67,AerSim (IBM-Yonsei),4,3,Test,0.19636288285255432,37.25050226323749,0.2149488627910614,40.776306517617435,-0.5,-0.5434782608695652,1.0,1.0869565217391304
68,AerSim (IBM-Yonsei),4,4,Train,0.136398583650589,22.99021474318724,0.19135048985481262,32.25245259324375,2.5,3.067484662576687,4.0,4.9079754601226995
69,AerSim (IBM-Yonsei),4,4,Test,0.17784234881401062,31.603812456121993,0.2915552258491516,51.81137529832809,5.0,5.681818181818182,5.5,6.25
70,AerSim (IBM-Yonsei),8,0,Train,0.17656058073043823,25.5270994721788,0.2787981331348419,40.30858783850803,35.5,69.6078431372549,35.0,68.62745098039215
71,AerSim (IBM-Yonsei),8,0,Test,0.18064779043197632,26.280031753505394,0.3317008316516876,48.25471912845212,37.5,68.18181818181817,36.0,65.45454545454545
72,AerSim (IBM-Yonsei),8,1,Train,0.24812859296798706,38.19919134827255,0.3004126250743866,46.24827478118935,4.5,5.7324840764331215,6.5,8.280254777070063
73,AerSim (IBM-Yonsei),8,1,Test,0.306598961353302,45.95877852869602,0.40447375178337097,60.63008007865358,21.5,32.82442748091603,27.0,41.221374045801525
74,AerSim (IBM-Yonsei),8,2,Train,0.05456429719924927,8.233085286513548,0.3120253086090088,47.08080391740159,9.0,12.676056338028168,15.5,21.830985915492956
75,AerSim (IBM-Yonsei),8,2,Test,0.06682348251342773,10.155698204251543,0.3810608386993408,57.912858320603746,14.5,20.13888888888889,19.5,27.083333333333332
76,AerSim (IBM-Yonsei),8,3,Train,0.2111574411392212,32.08001580712983,0.32430410385131836,49.269780509453945,20.0,30.53435114503817,24.0,36.6412213740458
77,AerSim (IBM-Yonsei),8,3,Test,0.26114553213119507,40.50028207781206,0.3682668209075928,57.11340341508737,21.0,29.166666666666668,20.5,28.47222222222222
78,AerSim (IBM-Yonsei),8,4,Train,0.18622395396232605,28.247083361963277,0.24648278951644897,37.387348698271715,19.0,27.941176470588236,17.0,25.0
79,AerSim (IBM-Yonsei),8,4,Test,0.22625306248664856,34.357806485692514,0.3393022418022156,51.524963401059395,25.5,38.63636363636363,25.5,38.63636363636363
80,AerSim (IBM-Yonsei),10,0,Train,0.14366388320922852,21.461019340542983,0.22643494606018066,33.82565365920851,20.0,31.25,24.5,38.28125
81,AerSim (IBM-Yonsei),10,0,Test,0.13603007793426514,20.43964923282555,0.22554340958595276,33.8897709147834,17.5,27.34375,25.0,39.0625
82,AerSim (IBM-Yonsei),10,1,Train,0.27626216411590576,41.1108026385931,0.3371683955192566,50.17430963998301,27.0,46.55172413793103,27.5,47.41379310344828
83,AerSim (IBM-Yonsei),10,1,Test,0.3320431709289551,50.21422413653232,0.3877444267272949,58.6378135617237,23.0,33.093525179856115,21.5,30.935251798561154
84,AerSim (IBM-Yonsei),10,2,Train,0.1949985921382904,31.897862947942713,0.2519910931587219,41.22069429085288,28.5,48.717948717948715,27.5,47.008547008547005
85,AerSim (IBM-Yonsei),10,2,Test,0.1753941774368286,28.87029604791646,0.3408777713775635,56.10928663449357,31.5,56.25,35.5,63.39285714285714
86,AerSim (IBM-Yonsei),10,3,Train,0.24239987134933472,39.48091675679034,0.1307920515537262,21.30277574446686,28.0,47.863247863247864,24.5,41.88034188034188
87,AerSim (IBM-Yonsei),10,3,Test,0.29204803705215454,48.04275236095457,0.1348901093006134,22.18981569773114,35.5,62.28070175438597,30.0,52.63157894736842
88,AerSim (IBM-Yonsei),10,4,Train,0.12354987859725952,18.017046467957513,0.3998231887817383,58.30546377734209,24.5,43.36283185840708,34.0,60.17699115044248
89,AerSim (IBM-Yonsei),10,4,Test,0.12672799825668335,18.70493653945702,0.41565847396850586,61.35081027572706,20.0,31.25,28.0,43.75
